placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
KFW544,2488,2011,CAMIONETA,PARTICULAR,YD25-216748T,3N6PD23Y9ZK87368,4,29369,ACPM,ACTIVO
ZIQ852,2400,1998,CAMPERO,PARTICULAR,4G64XH7534,VIIVNA01579,5,1610000034,GASOLINA,ACTIVO
SRN201,4570,2008,BUS,PUBLICO,494975,9GCNPR7178B010479,29,0,ACPM,ACTIVO
LXI05E,179,2018,MOTOCICLETA,PARTICULAR,163FMKPQ482172,9F2A81807J5003167,1,972,GASOLINA,ACTIVO
HPZ363,1598,2015,AUTOMOVIL,PARTICULAR,A690Q254520,9FBBSRALSFM525130,5,0,GASOLINA,ACTIVO
DTL09D,134.66,2015,MOTOCICLETA,PARTICULAR,JEZWEE85380,9FLA17CZ8FAL03453,1,8618,GASOLINA,ACTIVO
VTI79A,125,2005,MOTOCICLETA,PARTICULAR,5GP-021408,N/N,1,1755,GASOLINA,ACTIVO
SIO097,4570,2003,CAMION,PUBLICO,959814,9GDNPR71L3B500503,1,4910431799,ACPM,ACTIVO
DTG32D,199.5,2014,MOTOCICLETA,PARTICULAR,JLZCDD94505,9FLA36FZ8EBM30745,1,2531,GASOLINA,ACTIVO
QAE801,1400,1985,AUTOMOVIL,PARTICULAR,M401390,F0101390,5,0,GASOLINA,ACTIVO
WIN93A,94,2011,MOTOCICLETA,PARTICULAR,JBMBTE03119,MD2PAB1Z6BFE02221,1,11391,GASOLINA,ACTIVO
WHC07D,124,2018,MOTOCICLETA,PARTICULAR,XS1P52QMI-3A17000444,9F2C61259J5001469,1,894,GASOLINA,ACTIVO
WGQ83D,134.66,2016,MOTOCICLETA,PARTICULAR,JEZWFA48785,9FLA17CZ9GCG10168,1,20353,GASOLINA,ACTIVO
WIM27A,99,2010,MOTOCICLETA,PARTICULAR,DUMBSG68243,MD2DMB2Z6AFG02880,1,378,GASOLINA,ACTIVO
SMI436,995,2012,AUTOMOVIL,PUBLICO,B10S1715154KC2,9GAMM6108CB008292,4,,GASOLINA,ACTIVO
WGV33D,99.27,2017,MOTOCICLETA,PARTICULAR,DUZWGM23215,9FLA18AZ6HDG54875,1,22712,GASOLINA,ACTIVO
DQN02B,124,2006,MOTOCICLETA,PARTICULAR,DPMBMJ06880,MDKDPC5Z36FJ01426,1,3596,GASOLINA,ACTIVO
WHA92D,181,2017,MOTOCICLETA,PARTICULAR,163FMKPQ323519,9F2A8180XH5004744,1,854,GASOLINA,ACTIVO
EBT05A,125,1999,MOTOCICLETA,PARTICULAR,3TL106548,3TL106548,1,947,GASOLINA,ACTIVO
WIF42A,99,2009,MOTOCICLETA,PARTICULAR,DUMBRA51216,MD2DUB4Z89FA02077,1,175,GASOLINA,ACTIVO
SNN766,14945,2008,TRACTOCAMION,PUBLICO,79236083,3HSCNAPT38N568774,2,0,ACPM,ACTIVO
ABO079,1400,2008,AUTOMOVIL,PARTICULAR,F14D3576203K,N/N,5,2394,GASOLINA,ACTIVO
EVL275,1300,1991,AUTOMOVIL,PARTICULAR,E5721313,323NB23437,4,4163,GASOLINA,ACTIVO
WIF40A,135,2009,MOTOCICLETA,PARTICULAR,JNGBPM80477,MD2JNB2Z38VM02651,1,1276,GASOLINA,ACTIVO
CQE861,1600,2008,AUTOMOVIL,PARTICULAR,F710UC74678,9FBLSRAHB8M012580,5,4854,GASOLINA,ACTIVO
LFA744,2499,1977,CAMPERO,PARTICULAR,1194445,FJ4349678,9,0,ACPM,ACTIVO
ABO005,1000,2005,AUTOMOVIL,PARTICULAR,B10S1155144kA2,N/N,5,,GASOLINA,ACTIVO
